noise_level,forecast_rmse_mean,forecast_rmse_ci95,carbon_delta_pct_mean,carbon_delta_pct_ci95,coverage_mean,coverage_ci95,paired_jobs_mean,repetitions
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,180.00000000,10.00000000
0.05000000,0.01685129,0.00026484,0.63939671,0.20591409,1.00000000,0.00000000,180.00000000,10.00000000
0.10000000,0.03417225,0.00109864,1.23210677,0.17460054,1.00000000,0.00000000,180.00000000,10.00000000
0.20000000,0.06838686,0.00062730,3.65387962,0.53959767,1.00000000,0.00000000,180.00000000,10.00000000
0.35000000,0.11961951,0.00243991,11.63000859,1.56038449,1.00000000,0.00000000,180.00000000,10.00000000
0.50000000,0.16813510,0.00264690,21.41513613,1.70923390,1.00000000,0.00000000,180.00000000,10.00000000
